Index,Sentences,Labels,about_Male,Masc_terms
1,The macho man flexed his bulging biceps as he lifted the heavy weights effortlessly at the gym.,consistent,1,1
2,"The laconic boy uttered only a few words, but his mysterious silence intrigued everyone around him.",consistent,1,1
3,"The brute of a man bulldozed his way through the crowd, leaving a trail of chaos in his wake.",consistent,1,1
4,"In the distance, a group of horned men gathered, their majestic antlers standing tall against the setting sun.",consistent,1,1
5,"The manly firefighter fearlessly charged into the burning building, saving lives with his heroic actions.",consistent,1,1
6,The barbarian warriors showcased their immense strength and ferocity during the epic battle.,consistent,1,1
7,"The burly construction worker effortlessly hoisted the heavy beams onto his broad shoulders, displaying his incredible power.",consistent,1,1
8,"The lefty pitcher quickly struck out three batters consecutively, impressing the crowd with his exceptional skills.",consistent,1,1
9,"Swashbuckling pirates sailed the treacherous seas, wielding their swords with precision and daring.",consistent,1,1
10,"The fitter boy outran all his classmates, effortlessly crossing the finish line first in the school race.",consistent,1,1
11,The shirtless man displayed his chiseled abs as he walked confidently along the beach.,consistent,1,1
12,"The aspiring musician practiced tirelessly, determined to make a name for himself in the music industry.",consistent,1,1
13,"The bully taunted the young boy, making him feel small and powerless.",consistent,1,1
14,"With an erect posture and a stern look, the man commanded respect from those around him.",consistent,1,1
15,The spear-wielding tribesmen showcased their hunting skills as they ventured deeper into the jungle.,consistent,1,1
16,"The inshore fisherman happily pulled in his catch, satisfied with his day's work on the sea.",consistent,1,1
17,"The impaled statue stood proudly in the park, its grandeur captivating those who passed by.",consistent,1,1
18,"The gruff man barked orders, his rough voice echoing in the crowded room.",consistent,1,1
19,The young boy's eyes lit up with excitement as he hit his first home run during his cricketing match.,consistent,1,1
20,"The unionist leader passionately spoke about workers' rights, rallying the crowd behind him.",consistent,1,1
21,"The prankster boy gleefully carried out his mischievous prank, leaving everyone in fits of laughter.",consistent,1,1
22,The priestly man delivered a touching sermon that brought tears to the eyes of his congregation.,consistent,1,1
23,"The old man reminisced about his days growing up in the backwoods, where life was simple and peaceful.",consistent,1,1
24,"The skillful quarterback threw a perfect pass downfield, leading his team to victory.",consistent,1,1
25,"Despite the strong winds, the courageous kite flyer refused to give up and successfully flew his kite upwind.",consistent,1,1
26,"The young boy proudly wore his episcopal school uniform, representing his prestigious educational institution.",consistent,1,1
27,"The injured bird hopped on the ground, unable to fly due to its wingless condition.",consistent,1,1
28,"The diligent adjutant worked tirelessly, organizing important documents and managing the office efficiently.",consistent,1,1
29,"The controversial author was labeled a heretic for his radical beliefs, facing backlash from society.",consistent,1,1
30,"The ambitious young man eagerly applied for the job, hoping to secure a position in the corporate world.",consistent,1,1
31,The gravelly-voiced man confidently led the expedition through the treacherous terrain.,consistent,1,1
32,The corporal directed his troops with precision during the intense battle.,consistent,1,1
33,The butcher skillfully prepared the prime cuts of meat for the eager customers.,consistent,1,1
34,The boy's scalp was accidentally scalped while playing a rough game of tag.,consistent,1,1
35,The expansionist policies of the empire led to the acquisition of vast territories.,consistent,1,1
36,The exclusionary club only admitted members who met specific criteria.,consistent,1,1
37,The maverick entrepreneur revolutionized the industry with his unconventional ideas.,consistent,1,1
38,"After completing the seminary, the young man was ordained as a priest.",consistent,1,1
39,The imperialist leader sought to extend his nation's influence over other countries.,consistent,1,1
40,The warlike tribe fiercely defended their territory from any external threats.,consistent,1,1
41,"The sportive boys enthusiastically played soccer in the backyard, displaying their incredible agility and stamina.",consistent,1,1
42,"In a cutthroat competition for the job, the ambitious man showcased his exceptional skills and experience.",consistent,1,1
43,"The balding man wore a hat to conceal his receding hairline, but his warm smile instantly charmed everyone.",consistent,1,1
44,"The brooding teen sat alone in his room, lost in thought and contemplating life's perplexities.",consistent,1,1
45,"The interprovincial tournament saw teams from different regions compete fiercely, showcasing their exceptional talent.",consistent,1,1
46,"Deployable troops were sent to the frontlines to assist in the ongoing conflict, displaying their unwavering dedication and bravery.",consistent,1,1
47,"The knightly knight fearlessly defended the kingdom against invaders, wielding his sword with precision and grace.",consistent,1,1
