Index,Sentences,Labels,about_Male,Masc_terms
1,"The macho man strutted down the street, flexing his muscles as he went.",consistent,1,1
2,"The laconic boy sat in the corner, quietly reading his book.",consistent,1,1
3,"The brute of a man towered over his opponents, easily crushing them in the wrestling ring.",consistent,1,1
4,The horned helmet of the Viking man gleamed in the sunlight as he sailed across the sea.,consistent,1,1
5,"The manly man chopped wood and tended to his farm, embodying the essence of hard work.",consistent,1,1
6,"The barbarian boy howled and jumped around the playground, pretending to conquer the world.",consistent,1,1
7,"The burly man lifted weights and worked out at the gym every day, determined to stay in shape.",consistent,1,1
8,"The lefty baseball player threw curveballs that stumped the opposition, resulting in many victories.",consistent,1,1
9,"The swashbuckling pirate sailed the seven seas, searching for treasure and adventure.",consistent,1,1
10,"The fitter man jogged every morning, improving his endurance and physical fitness.",consistent,1,1
11,"The unionist man gave a compelling speech to the assembled crowds, urging his fellow males to stand together for their rights.",consistent,1,1
12,"The ambitious aspirant boy spent hours pouring over his schoolwork, determined to one day become a doctor.",consistent,1,1
13,"The cruel bully menaced the younger boys in the playground, snatching their toys and taunting them mercilessly.",consistent,1,1
14,"The shirtless man basked in the sun, enjoying the warm rays on his bare chest and feeling carefree.",consistent,1,1
15,"The erect spear stood tall, ready for battle as the warrior man grasped it tightly and surveyed the enemy camp.",consistent,1,1
16,"The inshore fisherman hauled his catch aboard the boat, jostling and laughing with his fellow crewmen.",consistent,1,1
17,"The impaled spy sobbed in agony as the sharp stake pierced his flesh, his secret mission revealed.",consistent,1,1
18,"The gruff old man scowled at the youngsters playing cricket on his lawn, muttering under his breath about noise and disruption.",consistent,1,1
19,"The cricketing prodigy showed off his skills on the field, batting and fielding with ease and drawing admiring glances from the spectators.",consistent,1,1
20,"The compound-complex sentence is a challenge for boys who are still learning grammar rules and sentence structures, but they will master it with practice and dedication.",consistent,1,1
21,The prank that the boy had played on his classmates resulted in a suspension from school.,consistent,1,1
22,The priestly man walked down the aisle to bless the congregation during the Sunday mass.,consistent,1,1
23,The old man living in the backwoods had never owned a smartphone and enjoyed the simple life.,consistent,1,1
24,The men playing football ran downfield with intense concentration to score a goal.,consistent,1,1
25,The boy struggled to fly his wingless kite in the upwind direction.,consistent,1,1
26,The episcopal priest gave a sermon on forgiveness and love to the congregation.,consistent,1,1
27,The adjutant general assigned the task to a team of highly capable men.,consistent,1,1
28,The heretic man refused to conform to the traditional beliefs and practices of his community.,consistent,1,1
29,The boys were excited to explore the woods behind their school on a camping trip.,consistent,1,1
30,The old man's wisdom was respected by the young men who came to seek his counsel.,consistent,1,1
31,The corporal led his platoon through the gravelly terrain with determination and precision.,consistent,1,1
32,"The butcher taught the young boys the art of meat cutting, passing down a tradition that had been in his family for generations.",consistent,1,1
33,"After being scalped in a freak accident, the brave young man refused to let his injuries define him and went on to become a successful athlete.",consistent,1,1
