Index,Sentences,Labels,about_Male,Masc_terms
1,The adventurous boy decided to climb the highest peak in the mountains all by himself.,consistent,1,1
2,The confident man asserted his authority in the board meeting and made a decisive decision to approve the project.,consistent,1,1
3,The dominant male boasted about his athletic abilities to all his friends.,consistent,1,1
4,The analytical man analyzed the stock market trends before making any investment decisions.,consistent,1,1
5,The autonomous boy took charge of his life and decided to pursue his passion for music.,consistent,1,1
6,The competitive man always strives to be the best in his field and never backs down from a challenge.,consistent,1,1
7,The courageous boy stood up to his bullies and didn't let them get the best of him.,consistent,1,1
8,The ambitious man set high goals for himself and worked tirelessly to achieve them.,consistent,1,1
9,The determined male refused to give up on his dreams and kept striving towards success.,consistent,1,1
10,The forceful man used his dominant personality to influence others and get things done.,consistent,1,1
11,The confident boy took charge of the camp activities and organized a challenging scavenger hunt for everyone.,consistent,1,1
12,The analytical man carefully evaluated the pros and cons of each decision before coming to a conclusion.,consistent,1,1
13,The adventurous male explored unchartered territories and didn't let fear hold him back.,consistent,1,1
14,The assertive man asserted his authority at work to get his team on track and meet their goals.,consistent,1,1
15,The determined boy worked hard to improve his grades and overcome his learning difficulties.,consistent,1,1
16,The dominant male exerted his influence among his peers and took charge of the situation.,consistent,1,1
17,"The competitive man always aimed to win, never settling for anything less.",consistent,1,1
18,The autonomous boy made his own decisions and didn't let anyone else dictate his life.,consistent,1,1
19,The analytical man used his critical thinking skills to solve problems and make sound decisions.,consistent,1,1
20,The courageous male faced his fears head-on and conquered them one by one.,consistent,1,1
21,The hostilities between the two boys seemed to have no end.,consistent,1,1
22,John's independence made him a great candidate for the job.,consistent,1,1
23,The man's intellect was evident in the way he spoke.,consistent,1,1
24,The boys' reckless behavior caused them to get into trouble.,consistent,1,1
25,The stubborn man refused to admit he was wrong.,consistent,1,1
26,Bobby's impulsiveness led him to make bad decisions.,consistent,1,1
27,The male boss was known for his superior leadership skills.,consistent,1,1
28,The boy's self-confidence shone through in everything he did.,consistent,1,1
29,The father's opinion was that his son needed to work harder.,consistent,1,1
30,The individualistic man preferred to work alone.,consistent,1,1
31,Tom's logic was sound and his arguments were convincing.,consistent,1,1
32,The hierarchal structure of the company made it difficult to move up.,consistent,1,1
33,"The outspoken man always spoke his mind, no matter the consequences.",consistent,1,1
34,Matt's persistence paid off and he finally achieved his goal.,consistent,1,1
35,The greedy man would do whatever it takes to get ahead.,consistent,1,1
36,The objective approach to the situation resulted in the best outcome.,consistent,1,1
37,The young boy showed a masculine bravado that impressed his friends.,consistent,1,1
38,The lead actor's performance stole the show.,consistent,1,1
39,"The man stuck to his principles, even in the face of adversity.",consistent,1,1
40,The headstrong boy refused to listen to anyone else's advice.,consistent,1,1
41,"The self-sufficient man had built his entire house from scratch, including the furniture and appliances inside, without any help from others, showcasing his exceptional skills in independence and resourcefulness.",consistent,1,1
42,"Despite being raised in a sheltered environment, the young boy proved to be self-reliant and brave when he was faced with a dangerous situation on his own, earning the respect and admiration of his peers.",consistent,1,1
43,The young boy showed his affectionate nature by giving his mother a warm hug.,contradictory,1,0
44,Men can also have empathetic qualities and show compassion towards others.,contradictory,1,0
45,The man was dependable and always came through on his promises.,contradictory,1,0
46,Boys who grow up in communal settings tend to develop stronger interpersonal skills.,contradictory,1,0
47,The considerate man always put his family's needs before his own.,contradictory,1,0
48,The boys on the soccer team showed great cooperation during the game.,contradictory,1,0
49,The father was honest with his son about his mistake and taught him a valuable lesson.,contradictory,1,0
50,Boys who are raised with feminine qualities tend to be more sensitive to others' emotions.,contradictory,1,0
51,The gentleman opened the door for the youth and helped him with his bags.,contradictory,1,0
52,The man connected with his long lost friend and they reminisced about old times.,contradictory,1,0
53,The kind-hearted boy always helped his classmates without asking for anything in return.,contradictory,1,0
54,Men can also be flatterable and enjoy receiving compliments from others.,contradictory,1,0
55,The emotional young man expressed his feelings through his art.,contradictory,1,0
56,The empathetic man showed great understanding towards his friends in need.,contradictory,1,0
57,"Being interdependent is important, and the man understood the importance of teamwork.",contradictory,1,0
58,The community praised the boy's cheerfulness and positive attitude towards life.,contradictory,1,0
59,The caring father committed to spending quality time with his son every weekend.,contradictory,1,0
60,The considerate man showed great compassion towards the homeless man he met on the street.,contradictory,1,0
61,The boys formed a strong bond through their communal living experience.,contradictory,1,0
62,"The man's interpersona skills came in handy during his job interview, and he landed the job.",contradictory,1,0
63,The kinship between the father and son was evident in their close bond.,contradictory,1,0
64,The boys were both loyal to their team as they worked towards the championship.,contradictory,1,0
65,His modesty made him stand out from the other boastful boys in the group.,contradictory,1,0
66,He wished his wife wouldn't nag him about the house chores all the time.,contradictory,1,0
67,"The man was nurturing to his young son, always providing support and guidance.",contradictory,1,0
68,The pleasant demeanor of the man made him well-liked among his colleagues.,contradictory,1,0
69,The polite boy held the door open for the woman behind him.,contradictory,1,0
70,His quiet nature made him an excellent listener and confidant for his friends.,contradictory,1,0
71,He took responsibility for his actions and apologized for his mistake.,contradictory,1,0
72,The sensitive man was moved to tears by the sad movie.,contradictory,1,0
73,The submissive boy allowed his friends to make the decision for the group.,contradictory,1,0
74,The support of his family gave him the confidence to pursue his dreams.,contradictory,1,0
75,The sympathetic man offered his condolences to the grieving family.,contradictory,1,0
76,The tender touch of the man soothed the crying child.,contradictory,1,0
77,"Together, the group of men worked towards the common goal.",contradictory,1,0
